                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56009,                 1.6557,                 0.9106,                 0.8549,                0.86373,                 0.9273,                0.85074,                0.21048,                0.41746,                0.77372,              0.0033269,              0.0033269,              0.0033269
                      2,                0.51197,                0.88643,                0.87009,                0.85864,                0.86689,                0.92821,                0.84011,                0.24332,                0.46883,                 0.7787,              0.0066493,              0.0066493,              0.0066493
                      3,                0.56103,                0.88132,                0.88545,                0.89487,                0.88288,                 0.9479,                0.86414,                 0.2523,                0.42099,                0.78738,              0.0099606,              0.0099606,              0.0099606
                      4,                0.56715,                0.85203,                0.89088,                0.91479,                0.90172,                0.95948,                0.88051,                0.24984,                0.37802,                0.79308,              0.0099505,              0.0099505,              0.0099505
                      5,                0.54096,                0.77701,                0.88229,                 0.9388,                0.91752,                0.97418,                0.90131,                0.23713,                0.31746,                0.78309,              0.0099505,              0.0099505,              0.0099505
                      6,                 0.5117,                0.71895,                0.87268,                0.94231,                0.92023,                0.97622,                0.90647,                0.22968,                0.27432,                   0.78,               0.009934,               0.009934,               0.009934
                      7,                 0.5008,                0.69526,                0.87054,                0.95083,                0.94063,                 0.9834,                0.91457,                0.22828,                0.26257,                0.78214,              0.0099175,              0.0099175,              0.0099175
                      8,                0.48885,                0.66914,                0.86706,                0.96573,                 0.9444,                 0.9863,                0.92212,                0.21674,                0.23638,                0.77618,               0.009901,               0.009901,               0.009901
                      9,                0.48145,                 0.6424,                0.86319,                0.96874,                0.95382,                0.98849,                0.92699,                0.21096,                0.21168,                 0.7764,              0.0098845,              0.0098845,              0.0098845
                     10,                0.47094,                0.62229,                0.85988,                0.96671,                 0.9568,                0.98896,                0.92727,                0.20556,                0.22076,                 0.7757,               0.009868,               0.009868,               0.009868
                     11,                0.46441,                0.60169,                0.85613,                0.97233,                0.96511,                 0.9906,                0.93082,                0.20245,                0.19483,                0.77482,              0.0098515,              0.0098515,              0.0098515
                     12,                0.45656,                0.59009,                0.85605,                 0.9726,                0.96787,                0.99096,                0.93167,                 0.2035,                0.18821,                0.77608,               0.009835,               0.009835,               0.009835
                     13,                0.45139,                0.57719,                0.85319,                0.96761,                0.97072,                0.98937,                0.93476,                0.19447,                0.19202,                0.77534,              0.0098185,              0.0098185,              0.0098185
                     14,                0.44139,                0.55506,                0.84975,                0.97411,                0.96934,                0.99089,                  0.936,                0.19546,                0.17439,                0.77467,               0.009802,               0.009802,               0.009802
                     15,                0.43971,                0.54549,                 0.8482,                0.97676,                0.97094,                 0.9921,                0.93857,                0.19255,                0.17175,                0.76996,              0.0097855,              0.0097855,              0.0097855
                     16,                0.43023,                0.53215,                0.84587,                0.97882,                0.97144,                0.99249,                 0.9395,                0.18798,                0.17038,                0.76949,               0.009769,               0.009769,               0.009769
                     17,                0.42739,                0.52594,                0.84589,                0.97952,                0.97294,                0.99277,                0.94087,                0.18875,                0.16272,                0.76882,              0.0097525,              0.0097525,              0.0097525
