                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5602,                 1.6514,                0.90932,                0.85286,                 0.8495,                0.92769,                0.85505,                0.19961,                 0.4607,                0.76963,              0.0033272,              0.0033272,              0.0033272
                      2,                0.51439,                0.89237,                 0.8706,                0.88683,                0.87682,                0.94756,                0.86665,                0.23248,                 0.3992,                0.78053,              0.0066383,              0.0066383,              0.0066383
                      3,                0.55595,                0.85161,                0.88292,                0.88543,                0.85871,                0.93282,                 0.8478,                 0.2608,                0.50958,                0.79088,              0.0099277,              0.0099277,              0.0099277
                      4,                0.57183,                0.85814,                 0.8911,                0.92035,                0.88533,                0.95836,                0.88146,                0.23878,                0.37682,                0.78696,               0.009901,               0.009901,               0.009901
                      5,                0.53624,                0.78548,                0.88117,                0.93521,                0.92517,                0.97459,                0.89988,                0.23779,                0.30863,                0.78454,               0.009901,               0.009901,               0.009901
                      6,                0.51662,                0.73203,                0.87492,                0.94628,                0.93121,                0.97742,                0.90818,                0.22892,                0.26664,                0.78422,               0.009868,               0.009868,               0.009868
                      7,                0.50178,                0.69398,                0.87073,                0.94908,                0.94678,                0.98171,                0.91702,                0.21685,                0.24798,                0.77651,               0.009835,               0.009835,               0.009835
                      8,                0.49085,                0.66135,                0.86625,                0.96143,                0.94652,                0.98471,                0.91977,                0.21324,                0.24171,                0.77609,               0.009802,               0.009802,               0.009802
                      9,                0.47624,                0.63743,                0.86203,                0.96739,                0.95192,                0.98819,                0.92614,                0.21156,                0.21804,                0.77828,               0.009769,               0.009769,               0.009769
                     10,                0.47023,                0.61511,                0.85828,                0.96475,                0.95934,                0.98792,                0.92597,                0.21163,                0.21475,                0.77592,               0.009736,               0.009736,               0.009736
                     11,                0.46144,                0.60138,                0.85795,                0.97017,                0.95422,                0.98902,                 0.9273,                0.20752,                0.21027,                0.77813,               0.009703,               0.009703,               0.009703
                     12,                0.45667,                0.58629,                0.85368,                0.97169,                0.95734,                0.98928,                0.93166,                0.20318,                 0.1974,                0.77414,                0.00967,                0.00967,                0.00967
                     13,                0.44933,                0.56566,                0.85212,                0.97104,                0.96585,                0.99019,                0.93233,                 0.1997,                 0.1885,                0.77223,               0.009637,               0.009637,               0.009637
                     14,                0.44495,                0.55776,                0.85023,                0.97798,                  0.968,                0.99104,                0.93501,                0.19619,                0.18765,                 0.7738,               0.009604,               0.009604,               0.009604
                     15,                0.43764,                0.54405,                0.84735,                0.97273,                0.97415,                0.99206,                0.93774,                0.19275,                0.17631,                0.77062,               0.009571,               0.009571,               0.009571
                     16,                0.43288,                0.53184,                 0.8465,                0.97666,                0.97369,                0.99193,                0.93948,                0.18866,                0.17183,                 0.7692,               0.009538,               0.009538,               0.009538
                     17,                0.40796,                0.46601,                0.83771,                0.98185,                0.96987,                0.99148,                0.93966,                0.18452,                0.16934,                0.76611,               0.009505,               0.009505,               0.009505
                     18,                0.42887,                0.52393,                0.84533,                0.98328,                0.97347,                 0.9933,                0.94126,                0.18698,                0.15724,                 0.7676,               0.009472,               0.009472,               0.009472
                     19,                0.42119,                0.51298,                0.84283,                0.98417,                0.97642,                0.99267,                0.94321,                0.18363,                0.15817,                0.76777,               0.009439,               0.009439,               0.009439
                     20,                0.41895,                0.50672,                0.84238,                0.98452,                0.97372,                 0.9929,                0.94266,                0.18265,                0.15436,                0.76612,               0.009406,               0.009406,               0.009406
                     21,                0.41588,                0.50031,                0.84195,                0.98379,                0.97707,                0.99341,                0.94506,                0.18242,                0.15272,                0.76656,               0.009373,               0.009373,               0.009373
                     22,                0.41339,                0.49036,                0.83978,                0.98407,                0.97786,                0.99311,                0.94561,                0.17662,                0.14429,                0.76608,                0.00934,                0.00934,                0.00934
                     23,                0.40901,                0.48465,                0.83952,                0.98615,                0.97824,                 0.9934,                0.94475,                0.17755,                0.14951,                0.76505,               0.009307,               0.009307,               0.009307
                     24,                0.40855,                0.47867,                0.83772,                0.98687,                0.97999,                0.99338,                0.94551,                0.17565,                  0.145,                0.76433,               0.009274,               0.009274,               0.009274
                     25,                0.40486,                0.47347,                0.83861,                0.98609,                 0.9803,                0.99341,                0.94588,                0.17567,                0.14148,                  0.763,               0.009241,               0.009241,               0.009241
                     26,                0.40472,                0.46861,                0.83702,                0.98589,                0.98101,                0.99347,                0.94745,                 0.1738,                0.14065,                0.76345,               0.009208,               0.009208,               0.009208
                     27,                0.39948,                0.45701,                0.83552,                0.98829,                0.98201,                0.99373,                0.94765,                0.17193,                0.13786,                0.76334,               0.009175,               0.009175,               0.009175
                     28,                0.39786,                0.45394,                0.83509,                0.98835,                0.98342,                0.99378,                0.94952,                0.16941,                0.12895,                0.76434,               0.009142,               0.009142,               0.009142
                     29,                0.39597,                0.45063,                0.83307,                0.98681,                0.98242,                0.99393,                0.94976,                0.16889,                0.13288,                0.76265,               0.009109,               0.009109,               0.009109
